Name,Category,
Coolberg Malt Non-Alcoholic Beer,Dairy,
Epigamia Greek Yogurt Smoothie - Strawberry,Dairy,
Epigamia Greek Yogurt Zero Sugar Mixed Berry,Dairy,
Epigamia Alphonso Mango Yogurt Smoothie,Dairy,
Schweppes Indian Tonic Water Tin,Dairy,
Schweppes Original Ginger Ale,Dairy,
Xotik Jeeru Jeera Masala Drink,Dairy,
O'cean Fruit Drink - Peach & Passion Fruit Flavour,Dairy,
Maaza Mango Drink,Dairy,
Slice Mango Drink,Dairy,
Real Mixed Fruit,Dairy,
Minute Maid Pulpy Orange Juice,Dairy,
Frooti Mango Drink,Dairy,
Mango Merry Mango Drink,Dairy,
Real Fruit Power Orange,Dairy,
B Natural Mixed Fruit Beverage,Dairy,
Real Fruit Power Litchi,Dairy,
B Natural Guava Fruit Beverage,Dairy,
Real Fruit Power Guava,Dairy,
Tropicana Mixed Fruit Delight,Dairy,
B Natural Litchi Fruit Beverage,Dairy,
Raw Pressery Coconut Water,Dairy,
Chitale Full Cream Shrikhand Amba,Dairy,
Paper Boat Aamras,Dairy,
Real Fruit Power Apple,Dairy,
Real Fruit Power Masala Guava,Dairy,
Real Fruit Power Masala Mixed Fruit,Dairy,
Amul Amrakhand,Dairy,
Amul Shrikhand Badam Pista,Dairy,
Tropicana Apple Delight,Dairy,
Paper Boat Chilli Guava,Dairy,
Tropicana Orange Delight,Dairy,
Tropicana Litchi Delight,Dairy,
Paper Boat Alphonso Aam,Dairy,
Amul Shrikhand Mango,Dairy,
Amul Shrikhand Elaichi,Dairy,
Paper Boat Jaljeera,Dairy,
Chitale Full Cream Badam Pista Shrikhand,Dairy,
Raw Pressery Orange Juice,Dairy,
Amul Shrikhand Kesar,Dairy,
Paper Boat Anar - 1 L,Dairy,
Chitale Full Cream Keshar Shrikhand,Dairy,
Baidyanath Amla Juice,Dairy,
Raw Pressery Pomegranate Juice,Dairy,
Baidyanath Aloevera Juice,Dairy,
Raw Pressery Sugarcane,Dairy,
Baidyanath Karela Jamun Juice,Dairy,
Baidyanath Giloy Juice,Dairy,
O'cean Pink Fruit Drink - Guava Flavour,Dairy,
Glucon-D Orange,Dairy,
Red Bull Energy Drink,Dairy,
Glucon-D Nimbu Pani,Dairy,
Monster Energy Drink Tin,Dairy,
Glucon-D Plain,Dairy,
O'cean Natural Power Energy Drink,Dairy,
Chetran's Tofu,Dairy,
Budweiser Beats Energy Drink,Dairy,
Cipla Prolyte ORS - Orange Flavour,Dairy,
Cipla Prolyte ORS - Apple Flavour,Dairy,
Red Bull Sugarfree,Dairy,
Rooh Afza,Dairy,
Mapro Coolz Rose Sharbat,Dairy,
Guruji Kesaria Thandai,Dairy,
Kokan Gem Kokam Syrup,Dairy,
Mala's Rose Syrup,Dairy,
Hershey's Chocolate Syrup,Dairy,
Kokan Gem Kairi Panhe,Dairy,
Mapro Cocktail Mixology Kit,Dairy,
Home Made Lemon Pudina Fruit Squash,Dairy,
Jimmy's Cocktails - Cosmopolitan Cocktail Mixer,Dairy,
Jimmy's Cocktails - Mango Chilli Mojito Cocktail Mixer,Dairy,
Jimmy's Cocktails - SOTB Cocktail Mixer,Dairy,
Jimmy's Cocktails - Margarita Cocktail Mixer,Dairy,
Jimmy's Cocktails - Whiskey Sour Cocktail Mixer,Dairy,
Home Made Real Variyali Syrup,Dairy,
Jimmy's Cocktails - BM Cocktail Mixer,Dairy,
Home Made Rose Falooda Syrup,Dairy,
Home Made Masala Shikanji Syrup,Dairy,
Monin Mojito Mint Flavoured Syrup,Dairy,
Home Made Anjeer Kesar Fruit Squash,Dairy,
Guruji Rose Sharbat,Dairy,
Monin Blue Curacao Flavoured Syrup,Dairy,
Monin Green Apple Flavoured Syrup,Dairy,
Monin Vanilla Flavoured Syrup,Dairy,
Hershey's Strawberry Syrup,Dairy,
Britannia Cheese Block,Dairy,
Amul Processed Cheese Block,Dairy,
Amul Processed Cheese,Dairy,
Amul Mozzarella Pizza Cheese (Frozen),Dairy,
Amul Mozzarella Diced Pizza Cheese (Frozen),Dairy,
Amul Mozzarella & Cheddar Pizza Cheese,Dairy,
Amul Easy To Grate Processed Cheese,Dairy,
Amul Diced Mozzarella & Cheddar Cheese Blend (Frozen),Dairy,
Amul Diced Blend Cheese,Dairy,
Amul Cheese Spread Plain,Dairy,
Amul Cheese Slices,Dairy,
Amul Cheese Chiplets ,Dairy,
Bisleri Packaged Drinking Water,Dairy,
Bisleri Water,Dairy,
Fresh Watermelon (Tarbooj),Fruits & Vegetables,
Fresh Pomegranate (Anar),Fruits & Vegetables,
Apple Royal Gala (Seb),Fruits & Vegetables,
Fresh Pear (Nashpati),Fruits & Vegetables,
Fresh Muskmelon (Kharbooja),Fruits & Vegetables,
Fresh Banana (Kela) Elaichi,Fruits & Vegetables,
Fresh Orange (Santra) Imported,Fruits & Vegetables,
Apple Red Delicious,Fruits & Vegetables,
Fresh Kiwi,Fruits & Vegetables,
Fresh Papaya (Papita),Fruits & Vegetables,
Fresh Apple Green,Fruits & Vegetables,
Fresh Raw Mango,Fruits & Vegetables,
Fresh Sweet Lime (Mosambi),Fruits & Vegetables,
Fresh Dragon Fruit (Pitaya),Fruits & Vegetables,
Fresh Guava (Peru),Fruits & Vegetables,
Fresh Indian Gooseberry (Amla),Fruits & Vegetables,
Sweet Tamarind (Thailand),Fruits & Vegetables,
Fresh Apple (Seb) Washington,Fruits & Vegetables,
Fresh Sapota (Chikku),Fruits & Vegetables,
Robusta Banana (Kela),Fruits & Vegetables,
Raw Banana (Kela) Madras,Fruits & Vegetables,
Fresh Pear - Indian,Fruits & Vegetables,
Apple Shimla (Seb),Fruits & Vegetables,
Plum Indian,Fruits & Vegetables,
Fresh Onion (Pyaaj),Fruits & Vegetables,
Fresh Potato (Aloo),Fruits & Vegetables,
Coconut,Fruits & Vegetables,
Garlic (Lahsun),Fruits & Vegetables,
Fresh Tomato (Tamaatar),Fruits & Vegetables,
Fresh Lemon (Nimboo),Fruits & Vegetables,
Ginger (Adrak),Fruits & Vegetables,
Fresh Button Mushrooms,Fruits & Vegetables,
Tender Coconut,Fruits & Vegetables,
Fresh Cucumber White (Safed Kakdi),Fruits & Vegetables,
Fresh Lady Finger (Bhendi),Fruits & Vegetables,
Cauliflower (Ful Gobi),Fruits & Vegetables,
Fresh Capsicum Green (Shimla Mirch),Fruits & Vegetables,
Fresh English Carrot (Gajar),Fruits & Vegetables,
Sweet Potato (Ratala),Fruits & Vegetables,
Fresh Groundnut (Mungfali),Fruits & Vegetables,
Malgudi Garlic Peeled,Fruits & Vegetables,
Sambhar Onion (Madras Onion),Fruits & Vegetables,
Fresh Avocado,Fruits & Vegetables,
Fresh Green Chilli (Mirchi),Fruits & Vegetables,
Bottle Gourd (Dudhi),Fruits & Vegetables,
Fresh Green Cucumber (Kakdi),Fruits & Vegetables,
Fresh Brinjal (Bharta Baingan),Fruits & Vegetables,
Fresh Beetroot (Chukandar),Fruits & Vegetables,
Cabbage (Patta Gobi),Fruits & Vegetables,
Fresh Sweet Corn,Fruits & Vegetables,
Drumsticks (Shevgyacha Shenga),Fruits & Vegetables,
Fresh Capsicum Red & Yellow,Fruits & Vegetables,
Fresh Baby Potato (Dum Aloo),Fruits & Vegetables,
Fresh Elephant Foot Yam (Suran),Fruits & Vegetables,
Fresh Baby Corn,Fruits & Vegetables,
Bitter Gourd (Karela),Fruits & Vegetables,
Fresh Colocasia (Arbi),Fruits & Vegetables,
French Beans (Faliya),Fruits & Vegetables,
Fresh Brinjal Round (Kateri Wangi),Fruits & Vegetables,
Fresh Sponge Gourd (Ghosale),Fruits & Vegetables,
Fresh Disco Pumpkin (Kaddu/Bhopla),Fruits & Vegetables,
Fresh Brinjal Small,Fruits & Vegetables,
Fresh Cluster Beans (Gavar),Fruits & Vegetables,
Fresh Sprouts Mixed Gram,Fruits & Vegetables,
Zucchini Green,Fruits & Vegetables,
Malgudi Fried Rice/Noodles Mix,Fruits & Vegetables,
Fresh Lemon Grass,Fruits & Vegetables,
Fresh Cabbage - Red,Fruits & Vegetables,
Broad Beans (Papadi),Fruits & Vegetables,
Zucchini Yellow,Fruits & Vegetables,
Malgudi Sambar Mix,Fruits & Vegetables,
Malgudi Coconut Chutney,Fruits & Vegetables,
Malgudi Sugarcane Cubes,Fruits & Vegetables,
Malgudi Thai Curry Mix Vegetables,Fruits & Vegetables,
Malgudi Biryani/Pulav Mix,Fruits & Vegetables,
Fresh Sprouts Moong Green,Fruits & Vegetables,
Haribol Desi Cow A2 Ghee,Packaged Food,
MTR Idli/Dosa/Chilly Chutney Powder,Packaged Food,
Premia Yellow Chana,Packaged Food,
Twinings Green Tea & Lemon,Packaged Food,
Twinings Green Tea & Mint,Packaged Food,
Twinings Origins Darjeeling Tea,Packaged Food,
Wingreens Tangy Cheese Pita Chips With Mexican Salsa Dip,Packaged Food,
Veeba Cheese & Jalapeno Dip,Packaged Food,
Veeba Cheese & Chili Sandwich Spread,Packaged Food,
Tosita Cheese Straws,Packaged Food,
Tosita Baby Rusk Cheddar Cheese,Packaged Food,
Taali Protein Cheese & Herbs Puffs,Packaged Food,
Sunfeast Yippee Pasta Cheese,Packaged Food,
Peppy Cheese Balls,Packaged Food,
McCain Potato Cheese Shotz,Packaged Food,
Malkist Cheese Flavoured Crunchy Layered Crackers,Packaged Food,
Makino Nacho Cheese Chips Can Pack,Packaged Food,
Makino Nacho Cheese Chips,Packaged Food,
Maggi Pazzta Cheese Macaroni,Packaged Food,
Kurkure Puffcorn Yummy Cheese,Packaged Food,
Godrej Yummiez Potato Cheese Bites,Packaged Food,
Doritos Nacho Cheese Flavour Chips,Packaged Food,
Doritos Nacho Cheese Flavour,Packaged Food,
Cornitos Nacho Crisps - Cheese & Herbs,Packaged Food,
Twinings Green Tea Lemon & Honey,Packaged Food,
Twinings Pure Green Tea,Packaged Food,
Twinings Darjeeling Loose Leaf Tea,Packaged Food,
Colombian Brew Instant Coffee Original,Packaged Food,
Colombian Brew Instant Coffee Nutty Hazelnut,Packaged Food,
Colombian Brew Instant Coffee Double Chocolate Mocha,Packaged Food,
Colombian Brew Instant Coffee Wild Vanilla,Packaged Food,
Colombian Brew Instant Coffee Creamy Caramel,Packaged Food,
Britannia Good Day Cashew Cookies,Packaged Food,
Parle Hide & Seek Chocolate Chip Cookies,Packaged Food,
Karachi's Fruit Biscuits,Packaged Food,
Parle Nutricrunch Digestive Cookies,Packaged Food,
Sunfeast Dark Fantasy Yumfills Cake,Packaged Food,
Britannia Good Day Chocochip Cookies,Packaged Food,
Unibic Choco Chip Cookies,Packaged Food,
Britannia Nice Time Coconut Biscuits,Packaged Food,
Sunfeast Mom's Magic Cashew & Almond Cookies,Packaged Food,
Parle 20-20 Gold Cashew Almond Cookies,Packaged Food,
Unibic Fruit & Nut Cookies,Packaged Food,
Unibic Cashew Badam Cookies,Packaged Food,
Britannia Little Hearts Classic Biscuits,Packaged Food,
Britannia Tiger Krunch Chocochips Biscuits,Packaged Food,
Patanjali Doodh Biscuits,Packaged Food,
Unibic Choco Nut Cookies,Packaged Food,
Unibic Choco Kiss Cookies,Packaged Food,
Malkist Chocolate Flavoured Crunchy Layered Crackers,Packaged Food,
Sunfeast Nice Sugar Sprinkled Biscuits,Packaged Food,
Munchy's Cream Crackers,Packaged Food,
Munchy's Vege Crackers,Packaged Food,
Cookie Man Almond Fingers,Packaged Food,
Cookie Man Assorted Cookies Tin,Packaged Food,
Cookie Man Hand Pound Chocolate Cookies,Packaged Food,
Sunfeast Mom's Magic Butter Cookies,Packaged Food,
Munchy's Wheat Crackers,Packaged Food,
Munchy's Sugar Crackers,Packaged Food,
Cookie Man Brownie Brittle,Packaged Food,
Lotus Biscoff Biscuit,Packaged Food,
Malkist Sugar Crackers,Packaged Food,
Cookie Man Brandy Snap Cookies,Packaged Food,
Cookie Man Nutty Magic Cookies,Packaged Food,
Tosita Baked Ragi Crackers,Packaged Food,
Tosita Baked Pita Chips Just Salted,Packaged Food,
Unibic Snappers Potato Crackers - Indi Spice,Packaged Food,
Unibic Snappers Potato Crackers - Cream N' Onion,Packaged Food,
Unibic Sugarfree Butter Cookies,Packaged Food,
Unibic Sugarfree Oatmeal Cookies,Packaged Food,
Orion O'Rice Cracker,Packaged Food,
Britannia Good Day Harmony,Packaged Food,
Parle-G Original Gluco Biscuits,Packaged Food,
Parle-G Gold Biscuits,Packaged Food,
Britannia Milk Bikis Biscuits,Packaged Food,
Britannia Marie Gold Biscuits,Packaged Food,
Britannia Vita Marie Gold Biscuits,Packaged Food,
Sunfeast Marie Light Biscuit,Packaged Food,
Parle Marie Biscuits,Packaged Food,
McVitie's Wholewheat Marie Biscuits,Packaged Food,
Parle Monaco Classic Regular Biscuit,Packaged Food,
Parle Krackjack Biscuits,Packaged Food,
Britannia 50-50 Maska Chaska Biscuits,Packaged Food,
Parle Monaco Cheeslings Classic,Packaged Food,
Bellie Cream Crackers Biscuit,Packaged Food,
Sunfeast Dark Fantasy Choco Fills Cookies,Packaged Food,
Lotte Choco Pie,Packaged Food,
Cadbury Oreo Original Biscuits - Value Pack,Packaged Food,
Bisky Bites Vanilla Magic Sandwich Biscuits,Packaged Food,
Britannia Jim Jam Cream Biscuits,Packaged Food,
Britannia Bourbon Sandwich Flavoured Biscuits,Packaged Food,
Cadbury Oreo Choco Crème Biscuits,Packaged Food,
Bisky Bites Chocolate Blast Sandwich Biscuits,Packaged Food,
Bisky Bites Bourbon Sandwich Biscuits,Packaged Food,
Sunfeast Dark Fantasy Choco Créme Biscuits,Packaged Food,
Sunfeast Dark Fantasy Vanilla Créme Biscuits,Packaged Food,
Dukes Bourbon Biscuits,Packaged Food,
Cadbury Oreo Cadbury Dipped,Packaged Food,
Parle Hide & Seek Caffé Mocha Biscuits,Packaged Food,
Cadbury Bournvita Chocolate Cookies,Packaged Food,
Bingo Mad Angles Cheese Nachos,Packaged Food,
Sunfeast Dark Fantasy Bourbon Biscuits,Packaged Food,
Cadbury Oreo Choco Cream Sandwich Biscuits Jumbo Pack,Packaged Food,
Bellie Chocolate Cream Sandwich Biscuits,Packaged Food,
Cadbury Oreo Red Velvet Biscuits,Packaged Food,
Britannia NutriChoice Digestive Hi-Fibre Biscuits,Packaged Food,
Sunfeast Farmlite 5 Grain Digestive Biscuit,Packaged Food,
Mcvitie's Digestive Biscuits,Packaged Food,
Britannia Toastea Premium Bake Rusk,Packaged Food,
Parle Real Elaichi Premium Rusk,Packaged Food,
Royal Toast,Packaged Food,
Kwality Maska Khari,Packaged Food,
Royal Maska Khari,Packaged Food,
Kwality Jeera Butter,Packaged Food,
Tosita Multi Grain Rusk,Packaged Food,
Tosita Wheat Khari,Packaged Food,
Tosita Milk Rusk,Packaged Food,
Tosita Maska Khari,Packaged Food,
Tosita Methi Khari,Packaged Food,
Tosita Kaju Rusk,Packaged Food,
Tosita Jeera Khari,Packaged Food,
Tosita Wheat Rusk,Packaged Food,
Tosita Bakery Maska Butter,Packaged Food,
Tosita Jeera Butter Bites,Packaged Food,
Bellie Cheese Cream Sandwich Biscuit,Packaged Food,
Tosita Baby Rusk Peri Peri,Packaged Food,
